timestamp,q0,q1,q2,q3,q4,q5,x,y,z,rx,ry,rz,dx,dy,dz,drx,dry,drz,aperture,d_aperture,contact_force,applied_force,d_applied_force,subtask,task,img,wrist_img
1727297415.0744514,1.38952,-1.663118,2.29904,-3.297577,-2.078996,0.22656,0.000371,-0.390059,0.330268,-1.9828039377305762,-0.023649154382516035,2.4138502430991413,4.999999999999959e-06,-1.0999999999983245e-05,-2.4000000000024002e-05,-0.00011608834350274044,-6.235716128899851e-05,0.00010683070253447724,100.0,0.0,0.0,0.0,0.0,move to grasp orange bottle,grasp orange bottle and return to original position,0_1727297415.1237388.jpeg,0_1727297415.0344963.jpeg
1727297415.1704514,1.388741,-1.662015,2.298968,-3.29875,-2.078276,0.226128,7.4e-05,-0.390308,0.329987,-1.9828664349655851,-0.023684710418041696,2.413890093595905,-3.2999999999999996e-05,-8.20000000000265e-05,-8.699999999994823e-05,-5.359110849378901e-05,-2.6801125763337152e-05,6.698020577067254e-05,100.0,0.0,0.0,0.0,0.0,move to grasp orange bottle,grasp orange bottle and return to original position,0_1727297415.1237388.jpeg,0_1727297415.2344894.jpeg
1727297415.2664514,1.373987,-1.636484,2.296428,-3.325257,-2.065267,0.218358,-0.005849,-0.395982,0.323794,-1.9831371294269464,-0.023787203098433,2.413940143819576,-5.3000000000000096e-05,-8.999999999997899e-05,3.999999999948489e-06,0.00022222412333250396,7.852312441599188e-05,1.2589318368227964e-05,100.0,0.0,0.0,0.0,0.0,move to grasp orange bottle,grasp orange bottle and return to original position,0_1727297415.1237388.jpeg,0_1727297415.2344894.jpeg
1727297415.3624513,1.34261,-1.578375,2.287325,-3.382275,-2.037847,0.202098,-0.019229,-0.408748,0.310205,-1.9827790673908257,-0.023699695583953174,2.4137662689603525,-4.60000000000009e-05,-0.00011099999999997223,-0.00013699999999999823,-0.00012522667464875958,-3.160814428283809e-06,0.00017677969978935337,100.0,0.0,0.0,0.0,0.0,move to grasp orange bottle,grasp orange bottle and return to original position,0_1727297415.4577959.jpeg,0_1727297415.4344802.jpeg
1727297415.4584513,1.298899,-1.486636,2.265859,-3.462076,-1.999012,0.179963,-0.039882,-0.428529,0.288867,-1.9829489654090984,-0.02388206553862555,2.4140370092606567,-8.299999999999974e-05,-0.00011100000000002774,-4.099999999995774e-05,6.135471609236554e-05,0.0001876134300162445,-0.00010956661044714266,100.0,0.0,0.0,0.0,0.0,move to grasp orange bottle,grasp orange bottle and return to original position,0_1727297415.4577959.jpeg,0_1727297415.4344802.jpeg
1727297415.5544512,1.255941,-1.383699,2.230775,-3.538513,-1.960789,0.159218,-0.063079,-0.450765,0.265071,-1.9828374851086088,-0.023715085372298494,2.4140710831497314,-0.00010300000000000586,-7.199999999996098e-05,-8.099999999999774e-05,-3.143793610993484e-05,3.107097326140312e-05,-0.00016015377329114955,100.0,0.0,0.0,0.0,0.0,move to grasp orange bottle,grasp orange bottle and return to original position,0_1727297415.6248245.jpeg,0_1727297415.6344697.jpeg
1727297415.6504512,1.218278,-1.282462,2.18514,-3.600809,-1.927298,0.141542,-0.086379,-0.472994,0.241279,-1.9827254519143214,-0.023656491005897475,2.4139531424043135,-2.0000000000006124e-05,-4.099999999995774e-05,-0.00012599999999998723,-0.0001248356635312753,-1.7495366204843543e-05,-6.0095451983599446e-05,100.0,0.0,0.0,0.0,0.0,move to grasp orange bottle,grasp orange bottle and return to original position,0_1727297415.6248245.jpeg,0_1727297415.6344697.jpeg
1727297415.7464511,1.185392,-1.184067,2.130069,-3.649339,-1.897845,0.126445,-0.109608,-0.495167,0.217441,-1.9826909793003518,-0.02360785972038139,2.413951308638209,8.999999999995123e-06,-4.899999999996574e-05,-0.00010699999999999599,-0.00014104278891502453,-5.625828438725333e-05,-7.514053935198106e-05,100.0,0.0,0.0,0.0,0.0,move to grasp orange bottle,grasp orange bottle and return to original position,0_1727297415.791853.jpeg,0_1727297415.8344603.jpeg
1727297415.842451,1.161549,-1.105732,2.078389,-3.679321,-1.876597,0.115617,-0.128587,-0.513327,0.197834,-1.9827519012916532,-0.023750928352275536,2.4138273385390425,4.000000000004e-06,-4.0000000000040004e-05,8.999999999981245e-06,-6.438978480138857e-05,9.546825767758893e-05,3.4805880637200914e-05,100.0,0.0,0.0,0.0,0.0,move to grasp orange bottle,grasp orange bottle and return to original position,0_1727297415.791853.jpeg,0_1727297415.8344603.jpeg
1727297415.938451,1.143633,-1.042708,2.031299,-3.697553,-1.860511,0.107894,-0.144268,-0.528389,0.181693,-1.9828293275550923,-0.0235462904666653,2.413684642373631,4.000000000004e-06,2.999999999997449e-05,5.099999999999549e-05,2.538982451616434e-05,-0.0001028639158507337,0.00016560072551019545,100.0,0.0,0.0,0.0,0.0,move to grasp orange bottle,grasp orange bottle and return to original position,0_1727297415.791853.jpeg,0_1727297416.034451.jpeg
1727297416.034451,1.143693,-1.042804,2.031407,-3.697433,-1.860439,0.107762,-0.144219,-0.528372,0.181696,-1.9829660119159607,-0.023679374759384083,2.4138650784867806,-5.599999999997274e-05,1.999999999946489e-06,3.700000000000925e-05,0.00016207418538449758,3.0220376868048127e-05,-1.4835387639244857e-05,100.0,0.0,0.0,0.0,0.0,move to grasp orange bottle,grasp orange bottle and return to original position,0_1727297415.791853.jpeg,0_1727297416.034451.jpeg
