timestamp,q0,q1,q2,q3,q4,q5,x,y,z,rx,ry,rz,dx,dy,dz,drx,dry,drz,aperture,d_aperture,contact_force,applied_force,d_applied_force,subtask,task,img,wrist_img
1727393332.7426577,0.628128,-1.445741,1.964582,-2.627632,-0.868805,-0.891723,-0.313493,-0.430282,0.31035,-2.2907976232874074,-0.05318547776137665,-3.009296922959403,0.0,-1.2999999999985246e-05,3.700000000000925e-05,6.99029199284773e-05,-2.0026828914686268e-05,5.99230432114517e-05,100.0,0.0,0.0,0.0,0.0,move to grasp strawberry,grasp strawberry and return to original position,0_1727393332.7561383.jpeg,0_1727393332.7026532.jpeg
1727393332.8386576,0.628882,-1.444661,1.964163,-2.629072,-0.869176,-0.890884,-0.313457,-0.430701,0.31014,-2.290670061752791,-0.05338976467521993,-3.0092856097741727,4.199999999998649e-05,-8.099999999999774e-05,-5.100000000002325e-05,-5.8219095109723895e-05,0.00018466653758560103,4.8812099990858115e-05,100.0,0.0,0.0,0.0,0.0,move to grasp strawberry,grasp strawberry and return to original position,0_1727393332.7561383.jpeg,0_1727393332.9026535.jpeg
1727393332.9346576,0.644967,-1.422734,1.956834,-2.655079,-0.877689,-0.872723,-0.312097,-0.439264,0.304844,-2.2907432200505715,-0.05323096348080415,-3.009420762659172,7.299999999998974e-05,-0.00017800000000001148,-3.999999999998449e-05,1.1959246646764399e-05,2.6748905387875832e-05,0.00018080508605100576,100.0,0.0,0.0,0.0,0.0,move to grasp strawberry,grasp strawberry and return to original position,0_1727393332.9231715.jpeg,0_1727393332.9026535.jpeg
1727393333.0306575,0.680216,-1.373041,1.937194,-2.709847,-0.896835,-0.834099,-0.309013,-0.458672,0.293167,-2.290525650572321,-0.053671748709483935,-3.009528853741617,0.00011699999999997823,-0.0002549999999999497,-0.0002530000000000032,-0.00021435259753843638,0.00046999724904545764,0.0002814749320587673,100.0,0.0,0.0,0.0,0.0,move to grasp strawberry,grasp strawberry and return to original position,0_1727393333.0902047.jpeg,0_1727393333.1026542.jpeg
1727393333.1266575,0.731991,-1.294965,1.899844,-2.783404,-0.926001,-0.779892,-0.304133,-0.488919,0.27466,-2.2906534574479016,-0.05357901687308125,-3.0093054896103495,7.799999999996698e-05,-0.00015300000000001424,-0.00014300000000000423,-9.882855826282011e-05,0.0003810182078272453,4.7731783106907955e-05,100.0,0.0,0.0,0.0,0.0,move to grasp strawberry,grasp strawberry and return to original position,0_1727393333.0902047.jpeg,0_1727393333.1026542.jpeg
1727393333.2226574,0.785574,-1.207547,1.848448,-2.850536,-0.957659,-0.726141,-0.29864,-0.522777,0.253918,-2.290871146617988,-0.05338344020968903,-3.009235030462579,1.6999999999989246e-05,-0.00012199999999995548,-4.399999999998849e-05,0.00010491626228947837,0.00018907707694999082,-3.461241654934e-05,100.0,0.0,0.0,0.0,0.0,move to grasp strawberry,grasp strawberry and return to original position,0_1727393333.2572372.jpeg,0_1727393333.3026555.jpeg
1727393333.3186574,0.833815,-1.121852,1.788385,-2.902379,-0.987209,-0.679372,-0.29338,-0.556056,0.233555,-2.290688076514792,-0.05331355025117461,-3.0094601223788313,0.00010499999999996623,-0.00014700000000000824,-5.0000000000050004e-06,-9.206186103183356e-05,0.0001231483381693571,0.00017804262556841977,100.0,0.0,0.0,0.0,0.0,move to grasp strawberry,grasp strawberry and return to original position,0_1727393333.2572372.jpeg,0_1727393333.3026555.jpeg
1727393333.4146574,0.867744,-1.057784,1.737125,-2.932277,-1.008641,-0.647824,-0.289348,-0.581179,0.218309,-2.2906590947648424,-0.053454176162750375,-3.009512618261827,9.500000000001174e-05,-7.299999999998974e-05,-4.599999999999049e-05,-0.00013114093540833593,0.00026691043511654217,0.00022201449829628572,100.0,0.0,0.0,0.0,0.0,move to grasp strawberry,grasp strawberry and return to original position,0_1727393333.4242697.jpeg,0_1727393333.5026557.jpeg
1727393333.5106573,0.886271,-1.021438,1.705741,-2.945732,-1.020303,-0.63109,-0.286957,-0.595522,0.209589,-2.2908048460597588,-0.05321777881642133,-3.009311208838897,-1.199999999995649e-05,4.599999999999049e-05,-6.0000000000060005e-06,8.57765146999867e-06,3.162705246684966e-05,1.5388325973031414e-05,100.0,0.0,0.0,0.0,0.0,move to grasp strawberry,grasp strawberry and return to original position,0_1727393333.4242697.jpeg,0_1727393333.5026557.jpeg
1727393333.6066573,0.890738,-1.012295,1.697863,-2.94868,-1.023081,-0.627264,-0.286362,-0.599057,0.207269,-2.291040161201547,-0.053031207742189244,-3.0091063401163067,-3.100000000000325e-05,-6.000000000061512e-06,0.00012499999999998623,0.00024253791413952897,-0.00015427001918740663,-0.0001905828430963652,100.0,0.0,0.0,0.0,0.0,move to grasp strawberry,grasp strawberry and return to original position,0_1727393333.4242697.jpeg,0_1727393333.7026572.jpeg
1727393333.7026572,0.890762,-1.01233,1.697839,-2.948872,-1.023176,-0.627144,-0.286355,-0.599062,0.207322,-2.2909151872677946,-0.05317416582365687,-3.009228174066676,-3.799999999998249e-05,-1.0000000000287557e-06,7.199999999998874e-05,0.00011756398038720306,-1.1311937719783727e-05,-6.874889272712181e-05,100.0,0.0,0.0,0.0,0.0,move to grasp strawberry,grasp strawberry and return to original position,0_1727393333.4242697.jpeg,0_1727393333.7026572.jpeg
