timestamp,q0,q1,q2,q3,q4,q5,x,y,z,rx,ry,rz,dx,dy,dz,drx,dry,drz,aperture,d_aperture,contact_force,applied_force,d_applied_force,subtask,task,img,wrist_img
1727458732.5823343,0.934678,-1.078181,1.433656,-2.095422,-1.487664,-0.748872,-0.306897,-0.613183,0.261758,-2.9641811840562298,-0.05891482587879628,-3.021734186114628,9.99999999995449e-06,-9.999999999177334e-07,-0.00012699999999998823,-0.0001968821383830921,0.00021676492953678211,-4.008559306711845e-05,66.73624918634022,0.0,5.122578104981789,11.81,0.0,move back to original position with large bearing,grasp large bearing and return to original position,2_1727458732.6301594.jpeg,2_1727458732.5423477.jpeg
1727458732.6783342,0.934678,-1.079043,1.433884,-2.094426,-1.487676,-0.748824,-0.306745,-0.612973,0.262126,-2.9644539146333027,-0.05867023165356337,-3.0217722284400876,8.999999999997899e-05,4.099999999995774e-05,0.00020999999999998797,7.584855041997685e-05,-2.882464595947709e-05,-2.0912205997980493e-06,66.73624918634022,0.0,5.122578104981789,11.81,0.0,move back to original position with large bearing,grasp large bearing and return to original position,2_1727458732.6301594.jpeg,2_1727458732.7423463.jpeg
1727458732.7743342,0.935432,-1.097343,1.435548,-2.077548,-1.487652,-0.748333,-0.303524,-0.609425,0.271841,-2.964636570354123,-0.05845598077435886,-3.021586040355659,9.00000000000345e-05,1.0000000000287557e-06,0.0002770000000000272,0.0002591717742816968,-0.0002440245329521848,-0.00018899070501010584,66.73624918634022,0.0,5.122578104981789,11.81,0.0,move back to original position with large bearing,grasp large bearing and return to original position,2_1727458732.6301594.jpeg,2_1727458732.7423463.jpeg
1727458732.8703341,0.937301,-1.136197,1.436255,-2.039853,-1.487808,-0.746809,-0.296464,-0.60182,0.293325,-2.964431397682161,-0.05872715851213521,-3.0214787392136446,4.199999999998649e-05,2.999999999997449e-05,8.399999999997299e-05,5.533411195912663e-05,2.5255192651577052e-05,-0.0002977146499718586,66.73624918634022,0.0,5.122578104981789,11.81,0.0,move back to original position with large bearing,grasp large bearing and return to original position,2_1727458732.9642293.jpeg,2_1727458732.9423425.jpeg
1727458732.966334,0.940163,-1.192397,1.431274,-1.978925,-1.487975,-0.744218,-0.285682,-0.590099,0.325904,-2.9643679092719215,-0.0587349719217586,-3.021567633195336,-3.4000000000034e-05,-3.399999999997849e-05,1.399999999995849e-05,-5.521904329786054e-06,2.9282549743180064e-05,-0.00021036864494350382,66.73624918634022,0.0,5.122578104981789,11.81,0.0,move back to original position with large bearing,grasp large bearing and return to original position,2_1727458732.9642293.jpeg,2_1727458732.9423425.jpeg
1727458733.062334,0.943516,-1.249403,1.416273,-1.907233,-1.488203,-0.741412,-0.273811,-0.57723,0.361883,-2.9642867938205906,-0.05879313296308116,-3.021462396723751,-6.199999999995098e-05,-8.000000000008e-06,-1.0000000000287557e-06,-8.400494822602411e-05,8.365754941024733e-05,-0.00031715310576130307,66.73624918634022,0.0,5.122578104981789,11.81,0.0,move back to original position with large bearing,grasp large bearing and return to original position,2_1727458733.131264.jpeg,2_1727458733.14234.jpeg
1727458733.158334,0.946917,-1.300503,1.391694,-1.831126,-1.488467,-0.738221,-0.262044,-0.564356,0.397583,-2.9647335592559516,-0.05828769574714964,-3.0216972479430786,1.4999999999987246e-05,1.399999999995849e-05,0.0002629999999999577,0.00036541173052118125,-0.0004255706735795117,-8.449871049887037e-05,66.73624918634022,0.0,5.122578104981789,11.81,0.0,move back to original position with large bearing,grasp large bearing and return to original position,2_1727458733.131264.jpeg,2_1727458733.14234.jpeg
1727458733.254334,0.950606,-1.345828,1.357058,-1.751807,-1.489029,-0.734982,-0.250202,-0.551435,0.433674,-2.9645612283121494,-0.05868901214160854,-3.0218046515000885,1.6999999999989246e-05,-1.2000000000012001e-05,0.00013599999999996948,0.00019638062342064444,-2.7993937868613095e-05,2.0693376003855235e-05,66.73624918634022,0.0,5.122578104981789,11.81,0.0,move back to original position with large bearing,grasp large bearing and return to original position,2_1727458733.2982996.jpeg,2_1727458733.342337.jpeg
1727458733.350334,0.954618,-1.384166,1.31227,-1.668937,-1.48934,-0.731683,-0.238329,-0.538613,0.469605,-2.964472931194692,-0.05860461748428718,-3.0216272919838616,-1.2999999999985246e-05,6.20000000000065e-05,0.00017000000000000348,0.0001107159573532357,-0.00011617459938431662,-0.0001582141698763806,66.73624918634022,0.0,5.122578104981789,11.81,0.0,move back to original position with large bearing,grasp large bearing and return to original position,2_1727458733.2982996.jpeg,2_1727458733.342337.jpeg
1727458733.446334,0.958235,-1.412531,1.263244,-1.591864,-1.489903,-0.728564,-0.227763,-0.527012,0.501867,-2.9644778263825637,-0.05873970526511003,-3.0216660624843357,1.1999999999984245e-05,-8.000000000008e-06,6.60000000000105e-05,0.00011761373195584568,1.6066228590259912e-05,-0.00012157793671097039,66.73624918634022,0.0,5.122578104981789,11.81,0.0,move back to original position with large bearing,grasp large bearing and return to original position,2_1727458733.2982996.jpeg,2_1727458733.5423338.jpeg
1727458733.5423338,0.96178,-1.433403,1.208926,-1.517068,-1.490406,-0.725482,-0.21787,-0.516135,0.532189,-2.9643571383906213,-0.05885604145825794,-3.021720864391378,6.1000000000005494e-05,-5.900000000003125e-05,-6.4000000000064e-05,-4.4191077108735044e-07,0.00012961178812837676,-6.827611544180101e-05,66.73624918634022,0.0,5.122578104981789,11.81,0.0,move back to original position with large bearing,grasp large bearing and return to original position,2_1727458733.2982996.jpeg,2_1727458733.5423338.jpeg
